original_column_name,column_name,column_description,data_format,value_description
ID,,identification of the patient,integer,
Examination Date,,Examination Date,date ,
aCL IgG,anti-Cardiolipin antibody (IgG) ,anti-Cardiolipin antibody (IgG) concentration,real,
aCL IgM,anti-Cardiolipin antibody (IgM) ,anti-Cardiolipin antibody (IgM) concentration,real,
ANA,anti-nucleus antibody ,anti-nucleus antibody concentration,integer,
ANA Pattern,pattern observed in the sheet of ANA examination,pattern observed in the sheet of ANA examination,text,
aCL IgA,anti-Cardiolipin antibody (IgA) concentration,anti-Cardiolipin antibody (IgA) concentration,integer,
Diagnosis,,disease names,text,
KCT,measure of degree of coagulation,measure of degree of coagulation,text,"+: positive

-: negative"
RVVT,measure of degree of coagulation,measure of degree of coagulation,text,"+: positive

-: negative"
LAC,measure of degree of coagulation,measure of degree of coagulation,text,"+: positive

-: negative"
Symptoms,,other symptoms observed,text,
Thrombosis,,degree of thrombosis,integer,"0: negative (no thrombosis)
1: positive (the most severe one)
2: positive (severe)3: positive (mild)"
