original_column_name,column_name,column_description,data_format,value_description
ID,,identification of the patient,integer,
Date,,Date of the laboratory tests (YYMMDD),date,
GOT,AST glutamic oxaloacetic transaminase,AST glutamic oxaloacetic transaminase,integer,"Commonsense evidence:

Normal range: N < 60"
GPT,ALT glutamic pyruvic transaminase,ALT glutamic pyruvic transaminase,integer,"Commonsense evidence:

Normal range: N < 60"
LDH,lactate dehydrogenase,lactate dehydrogenase,integer,"Commonsense evidence:

Normal range: N < 500"
ALP,alkaliphophatase,alkaliphophatase,integer,"Commonsense evidence:

Normal range: N < 300"
TP,total protein,total protein,real,"Commonsense evidence:

Normal range: 6.0 < N < 8.5"
ALB,albumin,albumin,real,"Commonsense evidence:

Normal range: 3.5 < N < 5.5"
UA,uric acid,uric acid,real,"Commonsense evidence:

Normal range: N > 8.0 (Male)N > 6.5 (Female)"
UN,urea nitrogen,urea nitrogen,integer,"Commonsense evidence:

Normal range: N < 30"
CRE,creatinine,creatinine,real,"Commonsense evidence:

Normal range: N < 1.5"
T-BIL,total bilirubin,total bilirubin,real,"Commonsense evidence:

Normal range: N < 2.0"
T-CHO,total cholesterol,total cholesterol,integer,"Commonsense evidence:
Normal range: N < 250"
TG,triglyceride,triglyceride,integer,"Commonsense evidence:

Normal range: N < 200"
CPK,creatinine phosphokinase,creatinine phosphokinase,integer,"Commonsense evidence:
Normal range: N < 250"
GLU,blood glucose,blood glucose,integer,"Commonsense evidence:
Normal range: N < 180"
WBC,White blood cell,White blood cell,real,"Commonsense evidence:
Normal range: 3.5 < N < 9.0"
RBC,Red blood cell,Red blood cell,real,"Commonsense evidence:

Normal range: 3.5 < N < 6.0"
HGB,Hemoglobin,Hemoglobin,real,"Commonsense evidence:

Normal range: 10 < N < 17"
HCT,Hematoclit,Hematoclit,real,"Commonsense evidence:
Normal range: 29 < N < 52"
PLT,platelet,platelet,integer,"Commonsense evidence:

Normal range: 100 < N < 400"
PT,prothrombin time,prothrombin time,real,"Commonsense evidence:

Normal range: N < 14"
APTT,activated partial prothrombin time,activated partial prothrombin time,integer,"Commonsense evidence:

Normal range: N < 45"
FG,fibrinogen,fibrinogen,real,"Commonsense evidence:

Normal range: 150 < N < 450"
PIC,,,,
TAT,,,,
TAT2,,,,
U-PRO,proteinuria,proteinuria,text,"Commonsense evidence:

Normal range: 0 < N < 30"
IGG,Ig G,Ig G,integer,"Commonsense evidence:

Normal range: 900 < N < 2000"
IGA,Ig A,Ig A,integer,"Commonsense evidence:

Normal range: 80 < N < 500"
IGM,Ig M,Ig M,integer,"Commonsense evidence:

Normal range: 40 < N < 400"
CRP,C-reactive protein,C-reactive protein,text,"Commonsense evidence:

Normal range: N= -, +-, or N < 1.0"
RA,Rhuematoid Factor,Rhuematoid Factor,text,"Commonsense evidence:

Normal range: N= -, +-"
RF,RAHA,RAHA,text,"Commonsense evidence:

Normal range: N < 20"
C3,complement 3,complement 3,integer,"Commonsense evidence:

Normal range: N > 35"
C4,complement 4,complement 4,integer,"Commonsense evidence:

Normal range: N > 10"
RNP,anti-ribonuclear protein,anti-ribonuclear protein,text,"Commonsense evidence:

Normal range: N= -, +-"
SM,anti-SM,anti-SM,text,"Commonsense evidence:

Normal range: N= -, +-"
SC170,anti-scl70,anti-scl70,text,"Commonsense evidence:

Normal range: N= -, +-"
SSA,anti-SSA,anti-SSA,text,"Commonsense evidence:

Normal range: N= -, +-"
SSB,anti-SSB,anti-SSB,text,"Commonsense evidence:

Normal range: N= -, +-"
CENTROMEA,anti-centromere,anti-centromere,text,"Commonsense evidence:

Normal range: N= -, +-"
DNA,anti-DNA,anti-DNA,text,"Commonsense evidence:

Normal range: N < 8"
DNA-II,anti-DNA,anti-DNA,integer,"Commonsense evidence:

Normal range: N < 8"
